ISO3,Roman,Country_Code,Map_Color_Code,STS_Code,UN_Link,M49_Description,M49_Code,x,y
VGB,British Virgin Islands,AME,GBR,5,254,British Virgin Islands,92,-64.63294223,18.42256578
VIR,United States Virgin Island,AME,USA,5,255,United States Virgin Islands,850,-64.76960113,17.73297693
VNM,Viet Nam,ASI,VNM,1,256,Viet Nam,704,105.802499,10.09643079
VUT,Vanuatu,OCE,VUT,1,257,Vanuatu,548,167.0679779,-15.34445547
WLF,Wallis and Futuna,OCE,FRA,2,258,Wallis and Futuna Islands,876,-176.2034788,-13.28471202
WSM,Samoa,OCE,WSM,1,259,Samoa,882,-172.4430749,-13.61541469
xAB,Abyei,AFR,xAB,6,260,#N/A,,28.41575465,9.786952168
xAC,Aksai Chin,ASI,xAC,6,261,#N/A,,79.13243225,35.03048775
xAP,Arunashal Pradesh,ASI,IND,6,262,India,356,94.37601013,28.1290844
xFR,Bassas da India,AFR,FRA,2,263,France,250,39.74861788,-21.46322035
xFR,Europa Island,AFR,FRA,2,264,France,250,40.34490003,-22.36467684
xFR,Glorioso Islands,AFR,FRA,2,265,France,250,47.29790846,-11.57792778
xFR,Juan de Nova Island,AFR,FRA,2,266,France,250,42.72500631,-17.05478494
xFR,Tromelin Island,AFR,FRA,2,267,France,250,54.52357832,-15.89120883
xGT,Guantanamo,AME,USA,2,268,United States of America,840,-75.10667951,19.91979184
xHT,Hala'ib Triangle,AFR,SDN,6,269,Sudan,736,35.50549332,22.36771666
xIT,Ilemi Triangle,AFR,SSD,6,270,South Sudan,728,35.03769733,4.760151493
xJK,Jammu-Kashmir,ASI,xJK,6,271,#N/A,,75.80453973,34.5544997
xJL,,ASI,xxx,6,272,#N/A,,35.17027033,31.73999131
xKI,Kuril Islands,ASI,RUS,6,273,Russian Federation,643,147.8764625,45.06793492
xMS,Ma'tan al-Sarra,AFR,EGY,6,274,Egypt,818,33.68799715,21.8886664
xPI,Paracel Islands,ASI,xPI,6,275,#N/A,,111.2010843,15.78289902
xSI,Spratly Islands,ASI,xSI,6,276,#N/A,,115.8224272,10.72970407
xSK,Senkaku Islands,ASI,JPN,6,277,Japan,392,123.4755413,25.74694982
xSR,Scarborough Reef,ASI,xSR,6,278,#N/A,,117.7213001,15.09046323
xUK,Akrotiri,EUR,GBR,2,279,United Kingdom,826,32.96439061,34.60083137
xUK,Dekelia,EUR,GBR,2,280,United Kingdom,826,33.78912168,35.01781667
xxx,,ASI,xxx,6,281,#N/A,,79.33397111,32.87590663
YEM,Yemen,ASI,YEM,1,282,Yemen,887,45.22389143,15.22242099
ZAF,South Africa,AFR,ZAF,1,283,South Africa,710,24.67184355,-29.99957544
ZMB,Zambia,AFR,ZMB,1,284,Zambia,894,27.850329,-14.59701056
ZWE,Zimbabwe,AFR,ZWE,1,285,Zimbabwe,716,29.86909584,-19.00075492
